day,energy_sum
2013-04-17,49485.4539976
2013-04-18,49849.6969985
2013-04-19,50864.033001
2013-04-20,51080.4949985
2013-04-21,53862.0920037
2013-04-22,50681.0529946
2013-04-23,46653.7780015
2013-04-24,45813.8490005
2013-04-25,44623.7759995
2013-04-26,47263.0409986
2013-04-27,51258.5840004
2013-04-28,53862.8640085
2013-04-29,48768.2120002
2013-04-30,47582.5600032
2013-05-01,47309.0460002
2013-05-02,46013.0669974
2013-05-03,45108.1870022
2013-05-04,47651.5549906
2013-05-05,47278.426001600004
2013-05-06,46434.924997
2013-05-07,44633.4899966
2013-05-08,45673.5389986
2013-05-09,46730.842000900004
2013-05-10,46183.2369974
2013-05-11,49813.407003
2013-05-12,52661.0220018
2013-05-13,47302.5409977
2013-05-14,49880.208003
2013-05-15,49696.8950025
2013-05-16,47418.2249983
2013-05-17,49470.9559934
2013-05-18,49077.0799979
2013-05-19,49511.2390027
2013-05-20,48351.195999100004
2013-05-21,46994.7080052
2013-05-22,47299.486992800004
2013-05-23,47683.3119982
2013-05-24,51219.038994200004
2013-05-25,47784.3899963
2013-05-26,45997.9829928
2013-05-27,45846.5759967
2013-05-28,48188.7600038
2013-05-29,48823.933996600004
2013-05-30,48466.1720009
2013-05-31,45172.680997
2013-06-01,45397.0310004
2013-06-02,46771.5870026
2013-06-03,43445.218998000004
2013-06-04,42933.613001800004
2013-06-05,42889.653
2013-06-06,42638.7359957
2013-06-07,43110.5379933
2013-06-08,44226.0709976
2013-06-09,48900.165002400005
2013-06-10,45814.022998500004
2013-06-11,45195.473001
2013-06-12,46263.9219968
2013-06-13,45641.2110016
2013-06-14,43819.0930009
2013-06-15,46185.260002
2013-06-16,47121.385001200004
2013-06-17,43902.5029975
2013-06-18,43804.633996000004
2013-06-19,42883.3100023
2013-06-20,43769.7700003
2013-06-21,43134.5129973
2013-06-22,44909.7139978
2013-06-23,48059.8720016
2013-06-24,44903.1109997
2013-06-25,42825.0559966
2013-06-26,42881.5840013
2013-06-27,43255.8200011
2013-06-28,44240.8699978
2013-06-29,43248.4070051
2013-06-30,45147.1270028
2013-07-01,43296.2449997
2013-07-02,44011.5089956
2013-07-03,43704.1829993
2013-07-04,42716.3389981
2013-07-05,42417.8280002
2013-07-06,42522.758002
2013-07-07,44335.0749951
2013-07-08,42360.6389997
